,Bundesland,Location,id1,lat,lon
264,435,London,9740,51.537277,0.006113
265,435,London,9741,51.537277,0.006113
266,435,London,9742,51.537277,0.006113
267,435,London,9743,51.537277,0.006113
268,435,London,9744,51.537277,0.006113
269,435,London,9745,51.537277,0.006113
270,435,London,9746,51.537277,0.006113
271,435,London,9747,51.537277,0.006113
272,435,London,9748,51.537277,0.006113
273,435,London,9749,51.537277,0.006113
274,435,London,9750,51.537277,0.006113
275,435,London,9751,51.537277,0.006113
276,435,London,9752,51.537277,0.006113
277,435,London,9753,51.537277,0.006113
278,435,London,9754,51.537277,0.006113
279,435,London,9755,51.537277,0.006113
280,435,London,9756,51.537277,0.006113
281,435,London,9757,51.537277,0.006113
282,435,London,9758,51.537277,0.006113
283,435,London,9759,51.537277,0.006113
284,435,London,9760,51.537277,0.006113
285,435,London,9761,51.537277,0.006113
286,435,London,9762,51.537277,0.006113
287,435,London,9763,51.537277,0.006113
288,435,London,9764,51.537277,0.006113
289,435,London,9765,51.537277,0.006113
290,435,London,9766,51.537277,0.006113
291,435,London,9767,51.537277,0.006113
292,435,London,9768,51.537277,0.006113
293,435,London,9769,51.537277,0.006113
294,435,London,9770,51.537277,0.006113
295,435,London,9771,51.538639,0.041612
296,435,London,9772,51.538639,0.041612
297,435,London,9773,51.538639,0.041612
298,435,London,9774,51.538639,0.041612
299,435,London,9775,51.538639,0.041612
300,435,London,9776,51.538639,0.041612
301,435,London,9777,51.538639,0.041612
302,435,London,9778,51.538639,0.041612
303,435,London,9779,51.538639,0.041612
304,435,London,9780,51.538639,0.041612
305,435,London,9781,51.538639,0.041612
306,435,London,9782,51.538639,0.041612
307,435,London,9783,51.538639,0.041612
308,435,London,9784,51.538639,0.041612
309,435,London,9785,51.538639,0.041612
310,435,London,9786,51.538639,0.041612
311,435,London,9787,51.538639,0.041612
312,436,London,9788,51.446545,0.003108
313,436,London,9789,51.446545,0.003108
314,436,London,9790,51.446545,0.003108
315,436,London,9791,51.446545,0.003108
316,436,London,9792,51.446545,0.003108
317,436,London,9793,51.446545,0.003108
318,436,London,9794,51.446545,0.003108
319,436,London,9795,51.446545,0.003108
320,436,London,9796,51.446545,0.003108
321,436,London,9797,51.446545,0.003108
322,436,London,9798,51.446545,0.003108
323,436,London,9799,51.446545,0.003108
324,436,London,9800,51.446545,0.003108
325,436,London,9801,51.446545,0.003108
326,436,London,9802,51.446545,0.003108
327,436,London,9803,51.446545,0.003108
328,436,London,9804,51.446545,0.003108
329,436,London,9805,51.446545,0.003108
330,436,London,9806,51.457047,0.008963
331,436,London,9807,51.457047,0.008963
332,436,London,9808,51.457047,0.008963
333,436,London,9809,51.457047,0.008963
334,436,London,9810,51.457047,0.008963
335,436,London,9811,51.457047,0.008963
336,436,London,9812,51.457047,0.008963
337,436,London,9813,51.457047,0.008963
338,436,London,9814,51.457047,0.008963
339,436,London,9815,51.457047,0.008963
340,436,London,9816,51.457047,0.008963
341,436,London,9817,51.457047,0.008963
342,436,London,9818,51.457047,0.008963
343,436,London,9819,51.457047,0.008963
344,436,London,9820,51.457047,0.008963
345,436,London,9821,51.457047,0.008963
346,436,London,9822,51.457047,0.008963
347,436,London,9823,51.457047,0.008963
348,436,London,9824,51.457047,0.008963
349,436,London,9825,51.457047,0.008963
350,436,London,9826,51.457047,0.008963
351,436,London,9827,51.466568,0.008966
352,436,London,9828,51.466568,0.008966
353,436,London,9829,51.466568,0.008966
354,436,London,9830,51.466568,0.008966
355,436,London,9831,51.466568,0.008966
356,436,London,9832,51.466568,0.008966
357,436,London,9833,51.466568,0.008966
358,436,London,9834,51.466568,0.008966
359,436,London,9835,51.466568,0.008966
360,436,London,9836,51.466568,0.008966
361,436,London,9837,51.466568,0.008966
362,436,London,9838,51.466568,0.008966
363,436,London,9839,51.466568,0.008966
364,436,London,9840,51.466568,0.008966
365,436,London,9841,51.466568,0.008966
366,436,London,9842,51.466568,0.008966
367,436,London,9843,51.466503,0.008016
368,436,London,9844,51.466503,0.008016
369,436,London,9845,51.466503,0.008016
370,436,London,9846,51.466503,0.008016
371,436,London,9847,51.466503,0.008016
372,436,London,9848,51.466503,0.008016
373,436,London,9849,51.466503,0.008016
374,436,London,9850,51.466503,0.008016
375,436,London,9851,51.466503,0.008016
376,436,London,9852,51.466503,0.008016
377,436,London,9853,51.466503,0.008016
378,436,London,9854,51.466503,0.008016
379,436,London,9855,51.466503,0.008016
380,436,London,9856,51.466503,0.008016
381,436,London,9857,51.466503,0.008016
382,436,London,9858,51.466503,0.008016
383,436,London,9859,51.466503,0.008016
384,436,London,9860,51.466503,0.008016
385,436,London,9861,51.466503,0.008016
386,436,London,9862,51.466503,0.008016
387,436,London,9863,51.466503,0.008016
388,436,London,9864,51.466503,0.008016
389,436,London,9865,51.466503,0.008016
390,436,London,9866,51.466503,0.008016
391,436,London,9867,51.466503,0.008016
392,436,London,9868,51.466503,0.008016
393,436,London,9869,51.466503,0.008016
394,436,London,9870,51.466503,0.008016
395,436,London,9871,51.466503,0.008016
396,436,London,9872,51.4585,0.003304
397,436,London,9873,51.4585,0.003304
398,436,London,9874,51.4585,0.003304
399,436,London,9875,51.4585,0.003304
400,436,London,9876,51.4585,0.003304
401,436,London,9877,51.4585,0.003304
