id,duration,journey_id,updated_at,,,created_at,,,,,,start_longitude,start_latitude,end_longitude,end_latitude,trip_dist,,,,,,,
13135,1560,493,06/03/2020 13:23,,,06/03/2020 13:23,,,,,,0.004055,51.444467,0.004055,51.444466,0,,,,,,,
13172,1080,494,06/03/2020 15:42,,,06/03/2020 15:42,,,,,,-0.100421,51.504811,-0.100421,51.504811,0,,,,,,,
13173,1080,495,06/03/2020 15:44,,,06/03/2020 15:44,,,,,,0.001607,51.538129,0.03311,51.539085,0,,,,,,,
13174,1620,496,06/03/2020 15:45,,,06/03/2020 15:45,,,,,,-0.100421,51.504811,-0.100421,51.50481,0,,,,,,,
13181,1380,497,06/03/2020 15:50,,,06/03/2020 15:50,,,,,,-0.020111,51.505172,-0.020239,51.505035,0,,,,,,,
13201,660,498,06/03/2020 16:09,,,06/03/2020 16:09,,,,,,-0.140152,51.535789,-0.126079,51.575829,1368.741145,,,,,,,
13307,1620,499,06/03/2020 16:58,,,06/03/2020 16:58,,,,,,-0.100411,51.504812,-0.100413,51.50481,1217.716526,,,,,,,
13310,600,500,06/03/2020 16:59,,,06/03/2020 16:59,,,,,,-0.1004,51.504993,-0.1004,51.504993,1978.839314,,,,,,,
13341,2580,501,06/03/2020 17:49,,,06/03/2020 17:49,,,,,,-0.077465,51.497695,-0.077465,51.497696,2746.700086,,,,,,,
13343,1020,502,06/03/2020 18:05,,,06/03/2020 18:05,,,,,,-0.182921,51.474189,-0.182921,51.474189,1662.071439,,,,,,,
13344,1380,503,06/03/2020 18:55,,,06/03/2020 18:55,,,,,,-0.075531,51.531702,-0.075129,51.511314,0,,,,,,,
13406,1500,504,06/03/2020 19:37,,,06/03/2020 19:37,,,,,,-0.182934,51.474196,-0.124327,51.513046,0,,,,,,,
13430,1320,505,06/03/2020 20:59,,,06/03/2020 20:59,,,,,,-0.071962,51.511515,-0.205262,51.490913,5846.965465,,,,,,,
13446,1020,506,06/03/2020 21:25,,,06/03/2020 21:25,,,,,,-0.473887,51.454313,-0.473887,51.454313,1217.716526,,,,,,,
13476,1740,507,06/03/2020 22:11,,,06/03/2020 22:11,,,,,,-0.083888,51.531034,-0.083888,51.531034,0,,,,,,,
13477,4980,508,06/03/2020 22:31,,,06/03/2020 22:31,,,,,,-0.033464,51.550738,-0.033464,51.550738,0,,,,,,,
13478,1020,509,06/03/2020 22:45,,,06/03/2020 22:45,,,,,,-0.080121,51.490735,-0.080121,51.490735,1217.716526,,,,,,,
13479,5940,510,06/03/2020 23:01,,,06/03/2020 23:01,,,,,,-0.079759,51.509477,-0.079759,51.509477,1295.320194,,,,,,,
13480,1440,511,06/03/2020 23:05,,,06/03/2020 23:05,,,,,,-0.027652,51.452792,-0.027652,51.452792,1746.726826,,,,,,,
13481,1740,512,06/03/2020 23:54,,,06/03/2020 23:54,,,,,,-0.203585,51.548678,-0.203585,51.548678,0,,,,,,,
13482,3780,513,07/03/2020 00:26,,,07/03/2020 00:26,,,,,,-0.198247,51.571798,-0.198247,51.571798,0,,,,,,,
13483,1860,514,07/03/2020 00:31,,,07/03/2020 00:31,,,,,,-0.198247,51.571798,-0.198247,51.571798,1670.623946,,,,,,,
13484,1380,515,07/03/2020 04:23,,,07/03/2020 04:23,,,,,,-0.116704,51.536257,-0.116704,51.536257,2918.329867,,,,,,,
13485,780,516,07/03/2020 07:07,,,07/03/2020 07:07,,,,,,-0.460625,51.45842,-0.460625,51.45842,1662.071439,,,,,,,
13486,900,517,07/03/2020 08:13,,,07/03/2020 08:13,,,,,,-0.224478,51.507339,-0.224478,51.507339,1217.716526,,,,,,,
13487,3120,518,07/03/2020 08:13,,,07/03/2020 08:13,,,,,,-0.110415,51.597703,0.08583,51.559017,1217.716526,,,,,,,
13507,2880,519,07/03/2020 08:47,,,07/03/2020 08:47,,,,,,0.343292,51.634131,0.343292,51.634131,0,,,,,,,
13508,600,520,07/03/2020 09:00,,,07/03/2020 09:00,,,,,,0.089531,51.476634,0.089531,51.476634,1622.28701,,,,,,,
13509,2580,521,07/03/2020 09:19,,,07/03/2020 09:19,,,,,,-0.189073,51.521136,-0.189073,51.521136,2746.700086,,,,,,,
13520,2100,522,07/03/2020 11:06,,,07/03/2020 11:06,,,,,,-0.180947,51.399874,-0.180947,51.399874,0,,,,,,,
13522,960,523,07/03/2020 11:19,,,07/03/2020 11:19,,,,,,-0.180907,51.39988,-0.180907,51.39988,2731.619124,,,,,,,
13523,780,524,07/03/2020 12:07,,,07/03/2020 12:07,,,,,,0.033167,51.546818,0.033167,51.546818,1922.889346,,,,,,,
13526,4980,525,07/03/2020 12:09,,,07/03/2020 12:09,,,,,,-0.190709,51.401562,-0.190709,51.401562,0,,,,,,,
13527,1260,526,07/03/2020 12:33,,,07/03/2020 12:33,,,,,,-0.027464,51.452757,-0.027464,51.452757,2583.243237,,,,,,,
13528,1380,527,07/03/2020 12:40,,,07/03/2020 12:40,,,,,,-0.128115,51.578469,-0.115229,51.557182,0,,,,,,,
13551,1500,528,07/03/2020 13:07,,,07/03/2020 13:07,,,,,,-0.128923,51.525534,-0.128923,51.525534,0,,,,,,,
13588,8460,529,07/03/2020 14:22,,,07/03/2020 14:22,,,,,,-0.231155,51.490494,-0.231155,51.490494,0,,,,,,,
13589,5460,530,07/03/2020 14:24,,,07/03/2020 14:24,,,,,,0.084585,51.594617,0.084585,51.594617,2565.029081,,,,,,,
13590,1440,531,07/03/2020 15:49,,,07/03/2020 15:49,,,,,,0.072178,51.53389,0.072194,51.533894,1498.750761,,,,,,,
