group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,group,id,journey_id,start_latitude,start_longitude,created_at,,updated_at_rn,,Trip_Length,,
1,11518,458,51.504816,-0.100424,04/03/2020 00:00,12:28:00,04/03/2020 00:00,13:22:00,00:54:00,2,16092,627,51.566622,-0.094288,10/03/2020 00:00,07:59:00,10/03/2020 00:00,07:59:00,00:00:00,3,18538,827,51.523257,-0.098519,13/03/2020 00:00,18:20:00,13/03/2020 00:00,18:20:00,00:00:00,,
1,11584,459,51.505107,-0.1004,04/03/2020 00:00,13:18:00,04/03/2020 00:00,13:18:00,00:00:00,2,16104,628,51.46676,-0.170737,10/03/2020 00:00,08:09:00,10/03/2020 00:00,08:09:00,00:00:00,3,18568,828,51.619715,-0.106808,13/03/2020 00:00,18:50:00,13/03/2020 00:00,18:50:00,00:00:00,,
1,11587,460,51.486096,-0.171496,04/03/2020 00:00,13:20:00,04/03/2020 00:00,17:38:00,04:18:00,2,16114,629,51.542566,-0.003798,10/03/2020 00:00,08:22:00,10/03/2020 00:00,08:22:00,00:00:00,3,18603,829,51.372025,-0.110104,13/03/2020 00:00,20:22:00,13/03/2020 00:00,20:22:00,00:00:00,,
1,11633,461,51.513755,-0.155852,04/03/2020 00:00,14:51:00,04/03/2020 00:00,15:34:00,00:43:00,2,16122,630,51.475175,0.068976,10/03/2020 00:00,08:41:00,10/03/2020 00:00,08:41:00,00:00:00,3,18604,830,51.477656,-0.024145,13/03/2020 00:00,21:04:00,13/03/2020 00:00,21:04:00,00:00:00,,
1,11689,462,51.504814,-0.100409,04/03/2020 00:00,16:04:00,04/03/2020 00:00,16:32:00,00:28:00,2,16123,631,51.535413,-0.237993,10/03/2020 00:00,08:42:00,10/03/2020 00:00,08:42:00,00:00:00,3,18605,831,51.437818,0.000519,13/03/2020 00:00,23:08:00,13/03/2020 00:00,23:08:00,00:00:00,,
1,11746,463,51.538087,0.001737,04/03/2020 00:00,17:01:00,04/03/2020 00:00,17:37:00,00:36:00,2,16124,632,51.477331,-0.169455,10/03/2020 00:00,08:46:00,10/03/2020 00:00,08:46:00,00:00:00,3,18606,832,51.450481,-0.138708,13/03/2020 00:00,23:12:00,13/03/2020 00:00,23:12:00,00:00:00,,
1,12095,464,51.578429,-0.128072,05/03/2020 00:00,05:13:00,05/03/2020 00:00,05:52:00,00:39:00,2,16125,633,51.529063,-0.07742,10/03/2020 00:00,08:48:00,10/03/2020 00:00,08:48:00,00:00:00,3,18607,833,51.443246,-0.153153,14/03/2020 00:00,07:54:00,14/03/2020 00:00,07:54:00,00:00:00,,
1,12296,465,51.542928,0.038765,05/03/2020 00:00,07:53:00,05/03/2020 00:00,08:25:00,00:32:00,2,16126,634,51.461798,-0.117302,10/03/2020 00:00,08:55:00,10/03/2020 00:00,09:26:00,00:31:00,3,18608,834,51.414282,-0.060392,14/03/2020 00:00,08:57:00,14/03/2020 00:00,08:57:00,00:00:00,,
1,12387,466,51.50481,-0.100397,05/03/2020 00:00,08:52:00,05/03/2020 00:00,08:52:00,00:00:00,2,16156,635,51.531006,-0.083031,10/03/2020 00:00,09:23:00,10/03/2020 00:00,09:23:00,00:00:00,3,18609,835,51.532893,0.053299,14/03/2020 00:00,10:03:00,14/03/2020 00:00,10:03:00,00:00:00,,
1,12392,467,51.50481,-0.100397,05/03/2020 00:00,08:54:00,05/03/2020 00:00,08:59:00,00:05:00,2,16162,636,51.524421,-0.09019,10/03/2020 00:00,09:55:00,10/03/2020 00:00,09:55:00,00:00:00,3,18610,836,51.475266,-0.047763,14/03/2020 00:00,10:58:00,14/03/2020 00:00,10:58:00,00:00:00,,
