id,user_id,bag_id,created_at,updated_at,completed_at,cancelled_at,,,,
438,1181,HTTP://BBQR.IO/BQSOR05151,02/03/2020 23:35,03/03/2020 00:16,NULL,03/03/2020 00:16,NULL,NULL,NULL,NULL
442,1181,HTTP://BBQR.IO/BQSOR05151,03/03/2020 11:48,03/03/2020 12:23,NULL,03/03/2020 12:23,NULL,NULL,NULL,NULL
464,1181,HTTP://BBQR.IO/BQSOR05151,05/03/2020 05:13,05/03/2020 05:53,NULL,05/03/2020 05:53,NULL,NULL,NULL,NULL
480,1181,HTTP://BBQR.IO/BQSOR05151,05/03/2020 16:03,05/03/2020 17:07,NULL,05/03/2020 17:07,NULL,NULL,NULL,NULL
488,1181,HTTP://BBQR.IO/BQSOR05151,06/03/2020 05:18,06/03/2020 07:30,NULL,06/03/2020 07:30,NULL,NULL,NULL,NULL
498,1181,HTTP://BBQR.IO/BQSOR05151,06/03/2020 16:09,06/03/2020 17:18,NULL,06/03/2020 17:18,NULL,NULL,NULL,NULL
527,1181,HTTP://BBQR.IO/BQSOR05151,07/03/2020 12:40,07/03/2020 13:31,NULL,07/03/2020 13:31,NULL,NULL,NULL,NULL
541,1181,HTTP://BBQR.IO/BQSOR05151,07/03/2020 23:36,08/03/2020 00:28,NULL,08/03/2020 00:28,NULL,NULL,NULL,NULL
582,1181,HTTP://BBQR.IO/BQSOR05151,09/03/2020 12:28,09/03/2020 13:13,NULL,09/03/2020 13:13,NULL,NULL,NULL,NULL
622,1181,HTTP://BBQR.IO/BQSOR05151,09/03/2020 23:43,10/03/2020 00:24,NULL,10/03/2020 00:24,NULL,NULL,NULL,NULL
645,1181,HTTP://BBQR.IO/BQSOR05151,10/03/2020 12:32,10/03/2020 13:34,NULL,10/03/2020 13:34,NULL,NULL,NULL,NULL
807,1186,HTTP://BBQR.IO/BQSOR02404,13/03/2020 08:25,13/03/2020 08:25,NULL,NULL,NULL,NULL,NULL,NULL
537,1187,HTTP://BBQR.IO/BQSOR02247,07/03/2020 17:29,07/03/2020 19:06,NULL,07/03/2020 19:06,NULL,NULL,NULL,NULL
570,1187,HTTP://BBQR.IO/BQSOR02247,09/03/2020 11:33,09/03/2020 15:11,NULL,09/03/2020 15:11,NULL,NULL,NULL,NULL
906,1187,HTTP://BBQR.IO/BQSOR02247,15/03/2020 17:54,15/03/2020 20:13,NULL,15/03/2020 20:13,NULL,NULL,NULL,NULL
435,1189,HTTP://BBQR.IO/BQSOR05183,02/03/2020 16:05,02/03/2020 16:52,NULL,02/03/2020 16:52,NULL,NULL,NULL,NULL
439,1189,HTTP://BBQR.IO/BQSOR05183,03/03/2020 07:51,03/03/2020 08:26,NULL,03/03/2020 08:26,NULL,NULL,NULL,NULL
446,1189,HTTP://BBQR.IO/BQSOR05183,03/03/2020 15:38,03/03/2020 16:11,NULL,03/03/2020 16:11,NULL,NULL,NULL,NULL
453,1189,HTTP://BBQR.IO/BQSOR05183,04/03/2020 07:53,04/03/2020 08:26,NULL,04/03/2020 08:26,NULL,NULL,NULL,NULL
463,1189,HTTP://BBQR.IO/BQSOR05183,04/03/2020 17:01,04/03/2020 17:38,NULL,04/03/2020 17:38,NULL,NULL,NULL,NULL
465,1189,HTTP://BBQR.IO/BQSOR05183,05/03/2020 07:53,05/03/2020 08:26,NULL,05/03/2020 08:26,NULL,NULL,NULL,NULL
489,1189,HTTP://BBQR.IO/BQSOR05183,06/03/2020 07:55,06/03/2020 08:23,NULL,06/03/2020 08:23,NULL,NULL,NULL,NULL
495,1189,HTTP://BBQR.IO/BQSOR05183,06/03/2020 15:44,06/03/2020 16:45,NULL,06/03/2020 16:45,NULL,NULL,NULL,NULL
543,1189,HTTP://BBQR.IO/BQSOR05183,08/03/2020 09:48,08/03/2020 10:30,NULL,08/03/2020 10:30,NULL,NULL,NULL,NULL
547,1189,HTTP://BBQR.IO/BQSOR05183,08/03/2020 12:04,08/03/2020 13:13,NULL,08/03/2020 13:13,NULL,NULL,NULL,NULL
549,1189,HTTP://BBQR.IO/BQSOR05183,08/03/2020 13:21,08/03/2020 13:52,NULL,08/03/2020 13:52,NULL,NULL,NULL,NULL
561,1189,HTTP://BBQR.IO/BQSOR05183,09/03/2020 07:58,09/03/2020 08:36,NULL,09/03/2020 08:36,NULL,NULL,NULL,NULL
626,1189,HTTP://BBQR.IO/BQSOR05183,10/03/2020 07:55,10/03/2020 08:29,NULL,10/03/2020 08:29,NULL,NULL,NULL,NULL
704,1189,HTTP://BBQR.IO/BQSOR05183,11/03/2020 07:55,11/03/2020 08:32,NULL,11/03/2020 08:32,NULL,NULL,NULL,NULL
766,1189,HTTP://BBQR.IO/BQSOR05183,12/03/2020 07:56,12/03/2020 08:38,NULL,12/03/2020 08:38,NULL,NULL,NULL,NULL
433,1190,HTTP://BBQR.IO/BQSOR05174,02/03/2020 12:23,02/03/2020 13:25,NULL,02/03/2020 13:25,NULL,NULL,NULL,NULL
441,1190,HTTP://BBQR.IO/BQSOR05174,03/03/2020 11:04,04/03/2020 10:18,NULL,04/03/2020 10:18,NULL,NULL,NULL,NULL
454,1190,HTTP://BBQR.IO/BQSOR05174,04/03/2020 10:18,05/03/2020 10:18,NULL,05/03/2020 10:18,NULL,NULL,NULL,NULL
469,1190,HTTP://BBQR.IO/BQSOR05174,05/03/2020 10:18,05/03/2020 11:04,NULL,05/03/2020 11:04,NULL,NULL,NULL,NULL
755,1190,HTTP://BBQR.IO/BQSOR05174,11/03/2020 20:10,11/03/2020 21:00,NULL,11/03/2020 21:00,NULL,NULL,NULL,NULL
971,1190,HTTP://BBQR.IO/BQSOR05174,17/03/2020 10:22,17/03/2020 11:19,NULL,17/03/2020 11:19,NULL,NULL,NULL,NULL
432,1192,HTTP://BBQR.IO/BQSOR05123,02/03/2020 11:13,02/03/2020 12:10,NULL,02/03/2020 12:10,NULL,NULL,NULL,NULL
437,1192,HTTP://BBQR.IO/BQSOR05123,02/03/2020 20:26,02/03/2020 21:21,NULL,02/03/2020 21:21,NULL,NULL,NULL,NULL
452,1192,HTTP://BBQR.IO/BQSOR05123,03/03/2020 18:35,06/03/2020 18:55,NULL,06/03/2020 18:55,NULL,NULL,NULL,NULL
503,1192,HTTP://BBQR.IO/BQSOR05123,06/03/2020 18:55,06/03/2020 19:42,NULL,06/03/2020 19:42,NULL,NULL,NULL,NULL
505,1192,HTTP://BBQR.IO/BQSOR05123,06/03/2020 20:59,06/03/2020 21:41,NULL,06/03/2020 21:41,NULL,NULL,NULL,NULL
640,1192,HTTP://BBQR.IO/BQSOR05123,10/03/2020 11:09,10/03/2020 13:43,NULL,10/03/2020 13:43,NULL,NULL,NULL,NULL
648,1192,HTTP://BBQR.IO/BQSOR05123,10/03/2020 13:43,10/03/2020 14:55,NULL,10/03/2020 14:55,NULL,NULL,NULL,NULL
800,1192,HTTP://BBQR.IO/BQSOR05123,12/03/2020 21:23,12/03/2020 22:32,NULL,12/03/2020 22:32,NULL,NULL,NULL,NULL
857,1192,HTTP://BBQR.IO/BQSOR05123,14/03/2020 16:04,14/03/2020 18:45,NULL,14/03/2020 18:45,NULL,NULL,NULL,NULL
875,1192,HTTP://BBQR.IO/BQSOR05123,14/03/2020 20:54,14/03/2020 23:02,NULL,14/03/2020 23:02,NULL,NULL,NULL,NULL
979,1192,HTTP://BBQR.IO/BQBET01027,17/03/2020 16:45,17/03/2020 17:30,NULL,17/03/2020 17:30,NULL,NULL,NULL,NULL
981,1192,HTTP://BBQR.IO/BQBET01027,17/03/2020 17:37,17/03/2020 18:38,NULL,17/03/2020 18:38,NULL,NULL,NULL,NULL
987,1192,HTTP://BBQR.IO/BQBET01027,17/03/2020 22:53,17/03/2020 22:53,NULL,NULL,NULL,NULL,NULL,NULL
451,1194,HTTP://BBQR.IO/BQSOR03974,03/03/2020 18:05,03/03/2020 18:32,NULL,03/03/2020 18:32,NULL,NULL,NULL,NULL
475,1194,HTTP://BBQR.IO/BQSOR03974,05/03/2020 11:43,05/03/2020 11:44,NULL,05/03/2020 11:44,NULL,NULL,NULL,NULL
483,1194,HTTP://BBQR.IO/BQSOR03974,05/03/2020 16:58,05/03/2020 17:00,NULL,05/03/2020 17:00,NULL,NULL,NULL,NULL
484,1194,HTTP://BBQR.IO/BQSOR03974,05/03/2020 17:00,05/03/2020 19:59,NULL,05/03/2020 19:59,NULL,NULL,NULL,NULL
485,1194,HTTP://BBQR.IO/BQSOR03974,05/03/2020 20:00,05/03/2020 20:01,NULL,05/03/2020 20:01,NULL,NULL,NULL,NULL
486,1194,HTTP://BBQR.IO/BQSOR03974,05/03/2020 20:06,05/03/2020 20:06,NULL,05/03/2020 20:06,NULL,NULL,NULL,NULL
487,1194,HTTP://BBQR.IO/BQSOR03974,05/03/2020 20:07,05/03/2020 20:07,NULL,05/03/2020 20:07,NULL,NULL,NULL,NULL
500,1194,HTTP://BBQR.IO/BQSOR03974,06/03/2020 16:59,06/03/2020 18:20,NULL,06/03/2020 18:20,NULL,NULL,NULL,NULL
572,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 11:59,09/03/2020 12:03,NULL,09/03/2020 12:03,NULL,NULL,NULL,NULL
574,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 12:05,09/03/2020 12:06,NULL,09/03/2020 12:06,NULL,NULL,NULL,NULL
575,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 12:06,09/03/2020 12:08,NULL,09/03/2020 12:08,NULL,NULL,NULL,NULL
576,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 12:08,09/03/2020 12:08,NULL,09/03/2020 12:08,NULL,NULL,NULL,NULL
577,1194,HTTP://BBQR.IO/BQSOR03974,09/03/2020 12:08,09/03/2020 12:08,NULL,09/03/2020 12:08,NULL,NULL,NULL,NULL
